timestamp,absorbance_od600,cell_concentration_cells_per_ml
2025-10-26T16:50:53.668849+00:00,0.7219,721900000
2025-10-26T10:40:00.535611+00:00,0.7541,754100000
2025-10-26T10:17:45.723109+00:00,0.7595,759500000
2025-10-26T10:12:00.403895+00:00,0.744,744000000
2025-10-26T09:27:00.239843+00:00,0.7249,724900000
2025-10-26T09:07:58.289154+00:00,0.7135,713500000
2025-10-26T08:50:03.160616+00:00,0.6857,685700000
2025-10-26T08:25:55.429519+00:00,0.6866,686600000
2025-10-26T08:18:59.713491+00:00,0.6795,679500000
2025-10-26T08:12:00.145279+00:00,0.675,675000000
2025-10-26T08:04:57.539908+00:00,0.6662,666200000
2025-10-26T07:57:55.624169+00:00,0.6564,656400000
2025-10-26T07:50:59.984713+00:00,0.6372,637200000
2025-10-26T07:43:55.699574+00:00,0.6262,626200000
2025-10-26T07:36:59.568308+00:00,0.6075,607500000
2025-10-26T07:29:55.543188+00:00,0.5859,585900000
2025-10-26T07:20:59.219691+00:00,0.5635,563500000
2025-10-26T07:11:00.350583+00:00,0.5342,534200000
2025-10-26T07:03:59.535055+00:00,0.5037,503700000
2025-10-26T06:55:56.301982+00:00,0.4737,473700000
2025-10-26T06:42:55.494321+00:00,0.4682,468200000
2025-10-26T06:32:45.242355+00:00,0.4274,427400000
2025-10-26T02:34:43.521669+00:00,0.5052,505200000
2025-10-26T02:28:43.867226+00:00,0.5104,510400000
2025-10-26T02:22:43.584895+00:00,0.5156,515600000
2025-10-26T02:16:46.671458+00:00,0.5162,516200000
2025-10-26T02:10:48.189142+00:00,0.52,520000000
2025-10-26T02:04:44.437547+00:00,0.4979,497900000

